Nº ESTAÇÃO,	Data e Hora,	Latitude,	Longitude
001,	Nov 14 2019 00:27:33,	14 50.74 S,	037 47.80 W
002,	Nov 14 2019 07:28:46,	14 39.11 S,	037 29.26 W
003,	Nov 14 2019 13:25:23,	14 27.40 S,	037 11.15 W
004,	Nov 14 2019 19:59:37,	14 15.65 S,	036 52.92 W
005,	Nov 15 2019 22:36:02,	14 55.47 S,	036 03.51 W
006,	Nov 16 2019 06:00:18,	14 40.31 S,	036 20.53 W
007,	Nov 16 2019 10:50:40,	14 24.73 S,	036 37.42 W
008,	Nov 16 2019 21:51:57,	14 09.44 S,	036 54.17 W
009,	Nov 17 2019 02:44:45,	13 53.89 S,	037 11.25 W
010,	Nov 17 2019 07:42:09,	13 38.53 S,	037 28.17 W
